[>>][67b85ce17ed22563772620][DEFAULT][/testlink/install/installCheck.php][25/Feb/21 11:00:49]
[<<][67b85ce17ed22563772620][DEFAULT][/testlink/install/installCheck.php][25/Feb/21 11:00:49][25/Feb/21 11:00:49][took 0.02806 secs]
[>>][67b85d569b361697549609][DEFAULT][/testlink/install/installNewDB.php][25/Feb/21 11:02:46]
[<<][67b85d569b361697549609][DEFAULT][/testlink/install/installNewDB.php][25/Feb/21 11:02:46][25/Feb/21 11:02:47][took 0.629108 secs]
[>>][67b85d652e1fc056808391][DEFAULT][/testlink/install/installNewDB.php][25/Feb/21 11:03:01]
[<<][67b85d652e1fc056808391][DEFAULT][/testlink/install/installNewDB.php][25/Feb/21 11:03:01][25/Feb/21 11:03:01][took 0.747644 secs]
[>>][67b85d75daea0753589422][DEFAULT][/testlink/index.php][25/Feb/21 11:03:17]
[<<][67b85d75daea0753589422][DEFAULT][/testlink/index.php][25/Feb/21 11:03:17][25/Feb/21 11:03:17][took 0.024765 secs]
[>>][67b85d75eacdb613801573][DEFAULT][/testlink/login.php][25/Feb/21 11:03:17]
[<<][67b85d75eacdb613801573][DEFAULT][/testlink/login.php][25/Feb/21 11:03:17][25/Feb/21 11:03:18][took 0.050576 secs]
[>>][67b85d76031ce737707698][DEFAULT][/testlink/login.php][25/Feb/21 11:03:18]
[<<][67b85d76031ce737707698][DEFAULT][/testlink/login.php][25/Feb/21 11:03:18][25/Feb/21 11:03:18][took 0.101418 secs]
[>>][67b85d7ceb56d128077038][DEFAULT][/testlink/login.php][25/Feb/21 11:03:24]
[<<][67b85d7ceb56d128077038][DEFAULT][/testlink/login.php][25/Feb/21 11:03:24][25/Feb/21 11:03:25][took 0.053709 secs]
[>>][67b85d7d046ab385303309][DEFAULT][/testlink/login.php][25/Feb/21 11:03:25]
[<<][67b85d7d046ab385303309][DEFAULT][/testlink/login.php][25/Feb/21 11:03:25][25/Feb/21 11:03:25][took 0.061677 secs]
[>>][67b85d7d13bab590542697][DEFAULT][/testlink/login.php][25/Feb/21 11:03:25]
